legacy_complication_id,label,migration_status,python_target,migration_note,timing_status
airway-ventilator-failure,Airway / ETT / ventilator failure,PARTIAL,AirwayPort/lung model,Basic airway inputs exist; rate/mode/Ti and explicit fault state are missing.,placeholder-until-validated
pulmonary-hemorrhage,Pulmonary hemorrhage,MECHANISM_NOT_IMPLEMENTED,future typed pathology/fault mechanism,Keep as migration backlog and Clinical Behavior Contract candidate; do not fake with legacy numeric patches.,placeholder-until-validated
gas-exchange-failure,Clinically significant gas-exchange failure,PARTIAL,lung + ECMO gas exchange,Multiple gas mechanisms exist but generic failure localization/orchestration is not yet implemented.,placeholder-until-validated
arrhythmia-arrest,Clinically significant arrhythmia / arrest,MECHANISM_NOT_IMPLEMENTED,future typed pathology/fault mechanism,Keep as migration backlog and Clinical Behavior Contract candidate; do not fake with legacy numeric patches.,placeholder-until-validated
vasoplegia-shock,Vasoplegia / distributive shock,PARTIAL,SVR engineering modifier,Underlying physiology knob exists but is not an integrated patient mechanism.,placeholder-until-validated
infection-sepsis,Infection / sepsis with clinically significant deterioration,MECHANISM_NOT_IMPLEMENTED,future typed pathology/fault mechanism,Keep as migration backlog and Clinical Behavior Contract candidate; do not fake with legacy numeric patches.,placeholder-until-validated
aki-fluid-overload,Acute kidney injury / fluid overload,PARTIAL,kidney + fluid balance + CKRT/UF,"Fluid/renal support exists, but progressive AKI pathology and labs are incomplete.",placeholder-until-validated
ckrt-ecmo-interaction,CKRT / CRRT failure or ECMO interaction,PARTIAL,RenalTherapyPort + shunt CKRT controls,Basic interaction surface exists; fault states are incomplete.,placeholder-until-validated
metabolic-electrolyte-emergency,Major metabolic / electrolyte emergency,MECHANISM_NOT_IMPLEMENTED,future typed pathology/fault mechanism,Keep as migration backlog and Clinical Behavior Contract candidate; do not fake with legacy numeric patches.,placeholder-until-validated
neurologic-deterioration,Acute neurologic deterioration / seizure,MECHANISM_NOT_IMPLEMENTED,future typed pathology/fault mechanism,Keep as migration backlog and Clinical Behavior Contract candidate; do not fake with legacy numeric patches.,placeholder-until-validated
abdominal-ischemic-compartment,Abdominal compartment / bowel ischemia / abdominal perfusion emergency,MECHANISM_NOT_IMPLEMENTED,future typed pathology/fault mechanism,Keep as migration backlog and Clinical Behavior Contract candidate; do not fake with legacy numeric patches.,placeholder-until-validated
pulmonary-hypertensive-crisis,Pulmonary hypertensive / RV crisis,PARTIAL,PVR/PA pressure engineering model,Underlying physiology knob exists but is not an integrated scenario mechanism.,placeholder-until-validated
congenital-circulation-specific,Congenital circulation / shunt / residual lesion failure,MECHANISM_NOT_IMPLEMENTED,future typed pathology/fault mechanism,Keep as migration backlog and Clinical Behavior Contract candidate; do not fake with legacy numeric patches.,placeholder-until-validated
treatment-transfusion-adverse,Clinically significant medication / transfusion adverse event,MECHANISM_NOT_IMPLEMENTED,future typed pathology/fault mechanism,Keep as migration backlog and Clinical Behavior Contract candidate; do not fake with legacy numeric patches.,placeholder-until-validated
transport-procedural-operational,Transport / positioning / operational support hazard,MECHANISM_NOT_IMPLEMENTED,future typed pathology/fault mechanism,Keep as migration backlog and Clinical Behavior Contract candidate; do not fake with legacy numeric patches.,placeholder-until-validated
