legacy_action_id,label,category,migration_status,python_target,migration_note
restore-sweep-gas,Restore sweep / gas source,emergency-procedure,PARTIAL_BACKEND,EcmoConsoleControls.sweep_gas_flow_ml_min/FdO2,Learner can restore settings; explicit gas-source failure state is missing.
assess-hemolysis,Evaluate for clinically significant hemolysis,assessment,MISSING_OR_FUTURE_OBSERVATION,future typed observation mechanism,"Clinical intent is useful, but current authoritative state does not fully support this assessment."
correct-hemolysis-source,Correct mechanical / circuit cause of hemolysis,procedure,MISSING_MECHANISM,future typed mechanism/action port,Preserve clinical action and outcome semantics; do not emulate with numeric patches.
control-major-bleeding,Initiate major hemorrhage control / resuscitation pathway,emergency-procedure,PARTIAL_BACKEND,neopatient.record_blood_loss + add_intravascular_input,Hemorrhage/resuscitation volume mechanisms exist; coagulopathy/hemostasis pathway does not.
reduce-anticoagulation,Hold / reduce anticoagulation when clinically indicated,intervention,MISSING_OR_PARTIAL_INTERVENTION,future typed intervention port,Preserve intent; current patient does not own a complete mechanism for this intervention.
neuro-assessment,Perform focused neurologic assessment,assessment,MISSING_OR_FUTURE_OBSERVATION,future typed observation mechanism,"Clinical intent is useful, but current authoritative state does not fully support this assessment."
urgent-neuro-imaging,Obtain urgent neurologic imaging,diagnostic,ORCHESTRATION_DIAGNOSTIC,future diagnostic order/result mechanism,Preserve as information action; result should derive from scenario/patient state when supported.
stroke-escalation,Initiate stroke / neurologic emergency escalation,emergency-procedure,MISSING_MECHANISM,future typed mechanism/action port,Preserve clinical action and outcome semantics; do not emulate with numeric patches.
assess-thrombosis,Assess for circuit / cannula / intracardiac thrombosis,assessment,MISSING_OR_FUTURE_OBSERVATION,future typed observation mechanism,"Clinical intent is useful, but current authoritative state does not fully support this assessment."
manage-thrombosis,Initiate thrombosis-directed management / exchange pathway,procedure,MISSING_MECHANISM,future typed mechanism/action port,Preserve clinical action and outcome semantics; do not emulate with numeric patches.
assess-anticoagulation,"Review anticoagulation, bleeding, and thrombosis data",assessment,MISSING_OR_FUTURE_OBSERVATION,future typed observation mechanism,"Clinical intent is useful, but current authoritative state does not fully support this assessment."
adjust-anticoagulation,Adjust anticoagulation per protocol / clinical context,intervention,MISSING_OR_PARTIAL_INTERVENTION,future typed intervention port,Preserve intent; current patient does not own a complete mechanism for this intervention.
assess-recirculation,Assess for VV recirculation and cannula relationship,assessment,MISSING_MECHANISM,future VV recirculation/cannula-position model,Current coupled runtime is VA-focused; no authoritative VV recirculation mechanism.
correct-recirculation,Correct VV cannula / flow configuration causing recirculation,procedure,MISSING_MECHANISM,future typed mechanism/action port,Preserve clinical action and outcome semantics; do not emulate with numeric patches.
assess-differential-hypoxemia,Assess upper/lower body oxygenation and mixing,assessment,MISSING_MECHANISM,future VA mixing/pre-postductal observation model,No upper/lower-body differential oxygenation model is currently integrated.
correct-differential-hypoxemia,Initiate strategy to correct differential hypoxemia,procedure,MISSING_MECHANISM,future typed mechanism/action port,Preserve clinical action and outcome semantics; do not emulate with numeric patches.
assess-lv-distension,Assess LV distension / aortic valve opening / pulmonary edema,assessment,MISSING_MECHANISM,future LV distension/aortic-valve-opening observation,No explicit distension/unloading state exposed in UnifiedPatientSnapshot.
initiate-lv-unloading,Initiate indicated LV unloading strategy,procedure,MISSING_MECHANISM,future typed mechanism/action port,Preserve clinical action and outcome semantics; do not emulate with numeric patches.
assess-limb-perfusion,Assess distal limb perfusion,assessment,MISSING_MECHANISM,future distal-perfusion/cannulation model,No limb perfusion model exists.
restore-limb-perfusion,Restore distal perfusion / correct cannulation-related ischemia,procedure,MISSING_MECHANISM,future typed mechanism/action port,Preserve clinical action and outcome semantics; do not emulate with numeric patches.
assess-thorax,Assess for pneumothorax / tension physiology,assessment,MISSING_MECHANISM,future pleural-pressure/pneumothorax mechanism,No pneumothorax/tension-physiology mechanism exists.
decompress-chest,Emergency pleural decompression,emergency-procedure,MISSING_MECHANISM,future typed mechanism/action port,Preserve clinical action and outcome semantics; do not emulate with numeric patches.
assess-airway-ventilator,"Assess airway, ETT, and ventilator circuit",assessment,PARTIAL_BACKEND,AirwayPort + lung model; ventilator rate/mode/Ti backend missing,PEEP/airway pressure/FiO2 exist; full ventilator/ETT fault model is not integrated.
restore-airway-ventilation,Correct airway / ETT / ventilator failure,procedure,MISSING_MECHANISM,future typed mechanism/action port,Preserve clinical action and outcome semantics; do not emulate with numeric patches.
manage-pulmonary-hemorrhage,Initiate pulmonary hemorrhage management,emergency-procedure,MISSING_MECHANISM,future typed mechanism/action port,Preserve clinical action and outcome semantics; do not emulate with numeric patches.
assess-gas-exchange,Assess gas exchange using appropriate monitor/lab data,assessment,READY_OBSERVATION_FROM_STATE,UnifiedPatientSnapshot + EcmoConsoleState post-oxygenator gas data,Current gas state exists; later labs/diagnostics should control learner disclosure.
correct-gas-exchange,Correct clinically significant gas-exchange support problem,intervention,MISSING_OR_PARTIAL_INTERVENTION,future typed intervention port,Preserve intent; current patient does not own a complete mechanism for this intervention.
manage-arrhythmia,Treat clinically significant rhythm disturbance,emergency-procedure,MISSING_MECHANISM,future typed mechanism/action port,Preserve clinical action and outcome semantics; do not emulate with numeric patches.
resuscitate-arrest,Initiate arrest / ECPR rescue pathway,emergency-procedure,MISSING_MECHANISM,future typed mechanism/action port,Preserve clinical action and outcome semantics; do not emulate with numeric patches.
assess-shock,Assess distributive / vasoplegic shock pattern,assessment,PARTIAL_BACKEND,patient hemodynamic state + future SVR/perfusion proxy,"Observable hemodynamics exist, but distributive-shock mechanism is incomplete."
treat-vasoplegia,Initiate appropriate shock / vasoplegia treatment,intervention,PARTIAL_BACKEND,neocirculation engineering SVR modifiers (not integrated as intervention),SVR modifier exists in engineering layer but no authoritative patient intervention port exists.
obtain-cultures,Obtain appropriate cultures / infectious evaluation,diagnostic,ORCHESTRATION_DIAGNOSTIC,future ordered diagnostic mechanism,"Information/diagnostic workflow, not a direct physiology patch."
treat-sepsis,Initiate sepsis treatment and source-control pathway,intervention,MISSING_MECHANISM,future typed mechanism/action port,Preserve clinical action and outcome semantics; do not emulate with numeric patches.
assess-renal-fluid,"Assess renal function, urine output, and fluid balance",assessment,READY_OBSERVATION_FROM_STATE,UnifiedPatientSnapshot + volume ledger + RenalTherapyPort,"Urine, fluid balance, volume and renal support state exist."
manage-fluid-overload,Initiate fluid / renal support strategy,intervention,PARTIAL_BACKEND,RenalTherapyPort.external_fluid_out_ml_min / CKRT net UF,Fluid removal mechanism exists; full prescription/intervention surface is Phase 2 scope.
assess-ckrt,Assess CKRT/CRRT circuit and ECMO interaction,assessment,PARTIAL_BACKEND,RenalTherapyPort + ECMO shunt CKRT controls,"Basic CKRT/UF controls exist, but failure/interaction semantics are incomplete."
restore-ckrt,Correct CKRT/ECMO interaction or restore renal-replacement support,procedure,PARTIAL_BACKEND,RenalTherapyPort / shunt CKRT controls,"Basic support can be changed, but CKRT fault/recovery state machine is missing."
assess-electrolytes,Review urgent metabolic / electrolyte data,assessment,MISSING_MECHANISM,future metabolic/electrolyte state + ordered labs,Electrolyte physiology is not modeled in the unified patient.
correct-electrolyte-emergency,Treat clinically significant metabolic / electrolyte emergency,intervention,MISSING_MECHANISM,future typed mechanism/action port,Preserve clinical action and outcome semantics; do not emulate with numeric patches.
assess-neurologic-deterioration,Assess acute neurologic deterioration / seizure,assessment,MISSING_OR_FUTURE_OBSERVATION,future typed observation mechanism,"Clinical intent is useful, but current authoritative state does not fully support this assessment."
treat-neurologic-emergency,Initiate neurologic emergency treatment,intervention,MISSING_MECHANISM,future typed mechanism/action port,Preserve clinical action and outcome semantics; do not emulate with numeric patches.
assess-abdomen,Assess abdominal perfusion / pressure / ischemia,assessment,MISSING_OR_FUTURE_OBSERVATION,future typed observation mechanism,"Clinical intent is useful, but current authoritative state does not fully support this assessment."
treat-abdominal-emergency,Initiate abdominal compartment / ischemia escalation,procedure,MISSING_MECHANISM,future typed mechanism/action port,Preserve clinical action and outcome semantics; do not emulate with numeric patches.
assess-pulmonary-hypertension,Assess pulmonary hypertensive / RV crisis pattern,assessment,PARTIAL_BACKEND,UnifiedPatientSnapshot mean PA pressure/PVR + neocirculation PatientModifiers,PVR/PA pressure exist; a patient-facing PH crisis mechanism/port is not integrated.
treat-pulmonary-hypertension,Initiate pulmonary hypertensive crisis treatment,intervention,PARTIAL_BACKEND,neocirculation engineering PVR modifiers (not integrated as intervention),Underlying modifier exists only as engineering model; do not expose until a typed patient mechanism is added.
assess-congenital-circulation,Assess shunt / single-ventricle / residual lesion physiology,assessment,MISSING_OR_FUTURE_OBSERVATION,future typed observation mechanism,"Clinical intent is useful, but current authoritative state does not fully support this assessment."
escalate-congenital-lesion,Escalate for lesion-specific intervention,procedure,MISSING_MECHANISM,future typed mechanism/action port,Preserve clinical action and outcome semantics; do not emulate with numeric patches.
assess-treatment-reaction,Assess for medication / transfusion adverse effect,assessment,MISSING_OR_FUTURE_OBSERVATION,future typed observation mechanism,"Clinical intent is useful, but current authoritative state does not fully support this assessment."
stop-offending-treatment,Stop or reverse offending treatment when indicated,intervention,MISSING_OR_PARTIAL_INTERVENTION,future typed intervention port,Preserve intent; current patient does not own a complete mechanism for this intervention.
stabilize-transport-position,Stop movement / restore safe position and support,emergency-procedure,MISSING_MECHANISM,future typed mechanism/action port,Preserve clinical action and outcome semantics; do not emulate with numeric patches.
verify-monitor-sensor,Verify questionable monitor / sensor data against independent source,assessment,ORCHESTRATION_OBSERVATION,future measurement/sensor model,"This belongs to observed-state/measurement infrastructure, not physiology."
