node_id,test_file,status,verification_scope,evidence
tests/test_baseline.py::test_two_minute_accelerated_run_has_no_material_drift,tests/test_baseline.py,PASS,prior continuation direct/bounded verification,carried-forward: START_HERE_PHASE6_HANDOFF_2026-08-11.md explicit direct/bounded zero-exit result
tests/test_baseline.py::test_failure_profiles_are_directionally_distinct,tests/test_baseline.py,PASS,prior continuation direct/bounded verification,carried-forward: START_HERE_PHASE6_HANDOFF_2026-08-11.md explicit direct/bounded zero-exit result
tests/test_baseline.py::test_recovery_returns_toward_baseline_without_reset,tests/test_baseline.py,PASS,prior continuation direct/bounded verification,carried-forward: START_HERE_PHASE6_HANDOFF_2026-08-11.md explicit direct/bounded zero-exit result
tests/test_baseline.py::test_pressure_volume_extraction_is_read_only_and_nonempty,tests/test_baseline.py,PASS,prior continuation direct/bounded verification,carried-forward: START_HERE_PHASE6_HANDOFF_2026-08-11.md explicit direct/bounded zero-exit result
tests/test_baseline.py::test_preload_extraction_bench_reduces_native_rv_flow_monotonically,tests/test_baseline.py,PASS,prior continuation direct/bounded verification,carried-forward: START_HERE_PHASE6_HANDOFF_2026-08-11.md explicit direct/bounded zero-exit result
tests/test_baseline.py::test_preload_extraction_preserves_initial_lv_buffering,tests/test_baseline.py,PASS,prior continuation direct/bounded verification,carried-forward: START_HERE_PHASE6_HANDOFF_2026-08-11.md explicit direct/bounded zero-exit result
tests/test_baseline.py::test_closed_loop_va_ecmo_conserves_patient_blood_volume,tests/test_baseline.py,PASS,prior continuation direct/bounded verification,carried-forward: START_HERE_PHASE6_HANDOFF_2026-08-11.md explicit direct/bounded zero-exit result
tests/test_baseline.py::test_closed_loop_va_ecmo_progressively_reduces_native_rv_contribution,tests/test_baseline.py,PASS,prior continuation direct/bounded verification,carried-forward: START_HERE_PHASE6_HANDOFF_2026-08-11.md explicit direct/bounded zero-exit result
tests/test_baseline.py::test_closed_loop_va_ecmo_preserves_intrinsic_contractility_but_changes_loading,tests/test_baseline.py,PASS,prior continuation direct/bounded verification,carried-forward: START_HERE_PHASE6_HANDOFF_2026-08-11.md explicit direct/bounded zero-exit result
tests/test_bridge.py::test_fully_closed_clamp_gives_zero_flow_regardless_of_pressure_gradient,tests/test_bridge.py,PASS,2026-08-11 closure continuation,"fresh-this-thread: direct pytest file verification, zero exit"
tests/test_bridge.py::test_near_zero_clamp_position_also_gives_zero_flow,tests/test_bridge.py,PASS,2026-08-11 closure continuation,"fresh-this-thread: direct pytest file verification, zero exit"
tests/test_bridge.py::test_fully_open_clamp_produces_forward_flow_with_forward_gradient,tests/test_bridge.py,PASS,2026-08-11 closure continuation,"fresh-this-thread: direct pytest file verification, zero exit"
tests/test_bridge.py::test_fully_open_clamp_produces_reversed_flow_with_reversed_gradient,tests/test_bridge.py,PASS,2026-08-11 closure continuation,"fresh-this-thread: direct pytest file verification, zero exit"
tests/test_bridge.py::test_zero_pressure_difference_gives_zero_flow_when_open,tests/test_bridge.py,PASS,2026-08-11 closure continuation,"fresh-this-thread: direct pytest file verification, zero exit"
tests/test_bridge.py::test_flow_increases_monotonically_with_clamp_position,tests/test_bridge.py,PASS,2026-08-11 closure continuation,"fresh-this-thread: direct pytest file verification, zero exit"
tests/test_bridge.py::test_partial_opening_allows_weaning_trial_level_flow_below_fully_open,tests/test_bridge.py,PASS,2026-08-11 closure continuation,"fresh-this-thread: direct pytest file verification, zero exit"
tests/test_bridge.py::test_clot_fraction_raises_resistance_lowers_flow_at_fixed_clamp,tests/test_bridge.py,PASS,2026-08-11 closure continuation,"fresh-this-thread: direct pytest file verification, zero exit"
tests/test_bridge.py::test_bench_sweep_returns_one_point_per_clamp_step,tests/test_bridge.py,PASS,2026-08-11 closure continuation,"fresh-this-thread: direct pytest file verification, zero exit"
tests/test_bridge.py::test_bridge_module_does_not_import_patient_physiology_modules,tests/test_bridge.py,PASS,2026-08-11 closure continuation,"fresh-this-thread: direct pytest file verification, zero exit"
tests/test_bridge_clamp_inverse_solver.py::test_zero_target_gives_zero_clamp_position,tests/test_bridge_clamp_inverse_solver.py,PASS,2026-08-11 closure continuation,"fresh-this-thread: direct pytest file verification, zero exit"
tests/test_bridge_clamp_inverse_solver.py::test_negative_target_treated_same_as_zero,tests/test_bridge_clamp_inverse_solver.py,PASS,2026-08-11 closure continuation,"fresh-this-thread: direct pytest file verification, zero exit"
tests/test_bridge_clamp_inverse_solver.py::test_solved_clamp_position_actually_produces_target_flow,tests/test_bridge_clamp_inverse_solver.py,PASS,2026-08-11 closure continuation,"fresh-this-thread: direct pytest file verification, zero exit"
tests/test_bridge_clamp_inverse_solver.py::test_higher_target_flow_requires_more_open_clamp,tests/test_bridge_clamp_inverse_solver.py,PASS,2026-08-11 closure continuation,"fresh-this-thread: direct pytest file verification, zero exit"
tests/test_bridge_clamp_inverse_solver.py::test_opening_bridge_for_target_flow_reduces_patient_flow,tests/test_bridge_clamp_inverse_solver.py,PASS,2026-08-11 closure continuation,"fresh-this-thread: direct pytest file verification, zero exit"
tests/test_bridge_clamp_inverse_solver.py::test_unachievable_target_raises_clear_error,tests/test_bridge_clamp_inverse_solver.py,PASS,2026-08-11 closure continuation,"fresh-this-thread: direct pytest file verification, zero exit"
tests/test_bridge_clamp_inverse_solver.py::test_bridge_clot_fraction_requires_more_opening_for_same_target_flow,tests/test_bridge_clamp_inverse_solver.py,PASS,2026-08-11 closure continuation,"fresh-this-thread: direct pytest file verification, zero exit"
tests/test_bridge_clamp_inverse_solver.py::test_target_flow_is_preserved_when_live_patient_pressure_boundaries_are_supplied,tests/test_bridge_clamp_inverse_solver.py,PASS,2026-08-11 closure continuation,"fresh-this-thread: direct pytest file verification, zero exit"
tests/test_cannula.py::test_zero_flow_gives_zero_delta_p,tests/test_cannula.py,PASS,2026-08-11 closure continuation,"fresh-this-thread: direct pytest file verification, zero exit"
tests/test_cannula.py::test_delta_p_increases_with_flow,tests/test_cannula.py,PASS,2026-08-11 closure continuation,"fresh-this-thread: direct pytest file verification, zero exit"
tests/test_cannula.py::test_reversed_flow_gives_negative_delta_p,tests/test_cannula.py,PASS,2026-08-11 closure continuation,"fresh-this-thread: direct pytest file verification, zero exit"
tests/test_cannula.py::test_larger_drain_cannula_has_lower_resistance_than_smaller_return_cannula,tests/test_cannula.py,PASS,2026-08-11 closure continuation,"fresh-this-thread: direct pytest file verification, zero exit"
tests/test_cannula.py::test_return_8fr_default_reproduces_source_literature_datapoint,tests/test_cannula.py,PASS,2026-08-11 closure continuation,"fresh-this-thread: direct pytest file verification, zero exit"
tests/test_cannula.py::test_drain_10fr_default_reproduces_source_literature_datapoint,tests/test_cannula.py,PASS,2026-08-11 closure continuation,"fresh-this-thread: direct pytest file verification, zero exit"
tests/test_cannula.py::test_resistance_coefficient_from_datapoint_matches_return_8fr_default,tests/test_cannula.py,PASS,2026-08-11 closure continuation,"fresh-this-thread: direct pytest file verification, zero exit"
tests/test_cannula.py::test_resistance_coefficient_from_datapoint_rejects_nonpositive_flow,tests/test_cannula.py,PASS,2026-08-11 closure continuation,"fresh-this-thread: direct pytest file verification, zero exit"
tests/test_cannula.py::test_bench_sweep_returns_one_point_per_flow_step,tests/test_cannula.py,PASS,2026-08-11 closure continuation,"fresh-this-thread: direct pytest file verification, zero exit"
tests/test_cannula.py::test_cannula_module_does_not_import_patient_physiology_modules,tests/test_cannula.py,PASS,2026-08-11 closure continuation,"fresh-this-thread: direct pytest file verification, zero exit"
tests/test_cardiopulmonary_coupling.py::test_neutral_coupling_preserves_baseline_reasonably,tests/test_cardiopulmonary_coupling.py,PASS,prior continuation direct/bounded verification,carried-forward: START_HERE_PHASE6_HANDOFF_2026-08-11.md explicit direct/bounded zero-exit result
tests/test_cardiopulmonary_coupling.py::test_hypoxia_increases_pvr_and_reduces_pulmonary_flow,tests/test_cardiopulmonary_coupling.py,PASS,prior continuation direct/bounded verification,carried-forward: START_HERE_PHASE6_HANDOFF_2026-08-11.md explicit direct/bounded zero-exit result
tests/test_cardiopulmonary_coupling.py::test_positive_pressure_changes_thoracic_boundary_without_cross_imports,tests/test_cardiopulmonary_coupling.py,PASS,prior continuation direct/bounded verification,carried-forward: START_HERE_PHASE6_HANDOFF_2026-08-11.md explicit direct/bounded zero-exit result
tests/test_cardiopulmonary_coupling.py::test_higher_peep_reduces_native_output_via_coupling,tests/test_cardiopulmonary_coupling.py,PASS,prior continuation direct/bounded verification,carried-forward: START_HERE_PHASE6_HANDOFF_2026-08-11.md explicit direct/bounded zero-exit result
tests/test_cardiopulmonary_coupling.py::test_coupling_is_separate_module_boundary,tests/test_cardiopulmonary_coupling.py,PASS,prior continuation direct/bounded verification,carried-forward: START_HERE_PHASE6_HANDOFF_2026-08-11.md explicit direct/bounded zero-exit result
tests/test_cdi_sensor.py::test_bridge_closed_cdi_reads_pure_native_venous_saturation,tests/test_cdi_sensor.py,PASS,prior continuation direct/bounded verification,carried-forward: START_HERE_PHASE6_HANDOFF_2026-08-11.md explicit direct/bounded zero-exit result
tests/test_cdi_sensor.py::test_bridge_open_cdi_reads_elevated_blend_above_native,tests/test_cdi_sensor.py,PASS,prior continuation direct/bounded verification,carried-forward: START_HERE_PHASE6_HANDOFF_2026-08-11.md explicit direct/bounded zero-exit result
tests/test_cdi_sensor.py::test_recirculation_fraction_zero_when_bridge_closed,tests/test_cdi_sensor.py,PASS,prior continuation direct/bounded verification,carried-forward: START_HERE_PHASE6_HANDOFF_2026-08-11.md explicit direct/bounded zero-exit result
tests/test_cdi_sensor.py::test_recirculation_fraction_increases_with_bridge_flow,tests/test_cdi_sensor.py,PASS,prior continuation direct/bounded verification,carried-forward: START_HERE_PHASE6_HANDOFF_2026-08-11.md explicit direct/bounded zero-exit result
tests/test_cdi_sensor.py::test_shunt_flow_is_not_a_parameter_of_cdi_mixed_saturation,tests/test_cdi_sensor.py,PASS,prior continuation direct/bounded verification,carried-forward: START_HERE_PHASE6_HANDOFF_2026-08-11.md explicit direct/bounded zero-exit result
tests/test_cdi_sensor.py::test_shunt_flow_is_not_a_parameter_of_cdi_reading_from_circuit_point,tests/test_cdi_sensor.py,PASS,prior continuation direct/bounded verification,carried-forward: START_HERE_PHASE6_HANDOFF_2026-08-11.md explicit direct/bounded zero-exit result
tests/test_cdi_sensor.py::test_cdi_sensor_module_never_reads_solved_shunt_flow_attribute,tests/test_cdi_sensor.py,PASS,prior continuation direct/bounded verification,carried-forward: START_HERE_PHASE6_HANDOFF_2026-08-11.md explicit direct/bounded zero-exit result
tests/test_cdi_sensor.py::test_zero_total_flow_falls_back_to_native_venous_saturation,tests/test_cdi_sensor.py,PASS,prior continuation direct/bounded verification,carried-forward: START_HERE_PHASE6_HANDOFF_2026-08-11.md explicit direct/bounded zero-exit result
tests/test_cdi_sensor.py::test_bridge_closed_cdi_reads_pure_native_paco2,tests/test_cdi_sensor.py,PASS,prior continuation direct/bounded verification,carried-forward: START_HERE_PHASE6_HANDOFF_2026-08-11.md explicit direct/bounded zero-exit result
tests/test_cdi_sensor.py::test_bridge_open_cdi_paco2_shifts_toward_post_oxygenator_value,tests/test_cdi_sensor.py,PASS,prior continuation direct/bounded verification,carried-forward: START_HERE_PHASE6_HANDOFF_2026-08-11.md explicit direct/bounded zero-exit result
tests/test_cdi_sensor.py::test_cdi_reading_from_circuit_point_matches_manual_calculation,tests/test_cdi_sensor.py,PASS,prior continuation direct/bounded verification,carried-forward: START_HERE_PHASE6_HANDOFF_2026-08-11.md explicit direct/bounded zero-exit result
tests/test_cdi_sensor.py::test_cdi_reading_from_circuit_point_bridge_closed_reads_native,tests/test_cdi_sensor.py,PASS,prior continuation direct/bounded verification,carried-forward: START_HERE_PHASE6_HANDOFF_2026-08-11.md explicit direct/bounded zero-exit result
tests/test_cdi_sensor.py::test_cdi_reading_from_circuit_point_optional_paco2,tests/test_cdi_sensor.py,PASS,prior continuation direct/bounded verification,carried-forward: START_HERE_PHASE6_HANDOFF_2026-08-11.md explicit direct/bounded zero-exit result
tests/test_cdi_sensor.py::test_cdi_sensor_does_not_import_patient_physiology_modules,tests/test_cdi_sensor.py,PASS,prior continuation direct/bounded verification,carried-forward: START_HERE_PHASE6_HANDOFF_2026-08-11.md explicit direct/bounded zero-exit result
tests/test_clinical_behavior_contract_bridge_recirculation.py::test_contract_definition_preserves_validation_boundary,tests/test_clinical_behavior_contract_bridge_recirculation.py,PASS,prior continuation direct/bounded verification,carried-forward: START_HERE_PHASE6_HANDOFF_2026-08-11.md explicit direct/bounded zero-exit result
tests/test_clinical_behavior_contract_bridge_recirculation.py::test_bridge_target_flow_is_honored_under_live_patient_boundary,tests/test_clinical_behavior_contract_bridge_recirculation.py,PASS,prior continuation direct/bounded verification,carried-forward: START_HERE_PHASE6_HANDOFF_2026-08-11.md explicit direct/bounded zero-exit result
tests/test_clinical_behavior_contract_bridge_recirculation.py::test_more_bridge_recirculation_reduces_patient_flow_and_map_support,tests/test_clinical_behavior_contract_bridge_recirculation.py,PASS,prior continuation direct/bounded verification,carried-forward: START_HERE_PHASE6_HANDOFF_2026-08-11.md explicit direct/bounded zero-exit result
tests/test_clinical_behavior_contract_bridge_recirculation.py::test_bridge_opening_contaminates_venous_cdi_in_expected_direction,tests/test_clinical_behavior_contract_bridge_recirculation.py,PASS,prior continuation direct/bounded verification,carried-forward: START_HERE_PHASE6_HANDOFF_2026-08-11.md explicit direct/bounded zero-exit result
tests/test_clinical_behavior_contract_bridge_recirculation.py::test_branch_conservation_and_closed_bridge_restoration,tests/test_clinical_behavior_contract_bridge_recirculation.py,PASS,prior continuation direct/bounded verification,carried-forward: START_HERE_PHASE6_HANDOFF_2026-08-11.md explicit direct/bounded zero-exit result
tests/test_clinical_behavior_contract_ckrt_net_ultrafiltration.py::test_contract_definition_preserves_scope_and_future_retest_boundary,tests/test_clinical_behavior_contract_ckrt_net_ultrafiltration.py,PASS,2026-08-11 closure continuation,"fresh-this-thread: direct pytest file verification, zero exit"
tests/test_clinical_behavior_contract_ckrt_net_ultrafiltration.py::test_configured_ckrt_uf_does_not_remove_fluid_unless_ckrt_is_selected_and_running[ShuntLineConfiguration.OPEN-0.0],tests/test_clinical_behavior_contract_ckrt_net_ultrafiltration.py,PASS,2026-08-11 closure continuation,"fresh-this-thread: direct pytest file verification, zero exit"
tests/test_clinical_behavior_contract_ckrt_net_ultrafiltration.py::test_configured_ckrt_uf_does_not_remove_fluid_unless_ckrt_is_selected_and_running[ShuntLineConfiguration.OPEN-30.0],tests/test_clinical_behavior_contract_ckrt_net_ultrafiltration.py,PASS,2026-08-11 closure continuation,"fresh-this-thread: direct pytest file verification, zero exit"
tests/test_clinical_behavior_contract_ckrt_net_ultrafiltration.py::test_configured_ckrt_uf_does_not_remove_fluid_unless_ckrt_is_selected_and_running[ShuntLineConfiguration.CKRT-0.0],tests/test_clinical_behavior_contract_ckrt_net_ultrafiltration.py,PASS,2026-08-11 closure continuation,"fresh-this-thread: direct pytest file verification, zero exit"
tests/test_clinical_behavior_contract_ckrt_net_ultrafiltration.py::test_active_ckrt_uf_diverges_from_matched_zero_uf_control_in_expected_direction,tests/test_clinical_behavior_contract_ckrt_net_ultrafiltration.py,PASS,2026-08-11 closure continuation,"fresh-this-thread: direct pytest file verification, zero exit"
tests/test_clinical_behavior_contract_ckrt_net_ultrafiltration.py::test_stopping_uf_freezes_ckrt_removal_ledger_without_claiming_immediate_recovery,tests/test_clinical_behavior_contract_ckrt_net_ultrafiltration.py,PASS,2026-08-11 closure continuation,"fresh-this-thread: direct pytest file verification, zero exit"
tests/test_clinical_behavior_contract_ckrt_net_ultrafiltration.py::test_stateful_replacement_returns_near_matched_no_uf_counterfactual_without_erasing_history,tests/test_clinical_behavior_contract_ckrt_net_ultrafiltration.py,PASS,2026-08-11 closure continuation,"fresh-this-thread: direct pytest file verification, zero exit"
tests/test_clinical_behavior_contract_drainage_path_resistance.py::test_contract_definition_preserves_split_and_model_boundaries,tests/test_clinical_behavior_contract_drainage_path_resistance.py,PASS,2026-08-11 closure continuation,"fresh-this-thread: direct pytest file verification, zero exit"
tests/test_clinical_behavior_contract_drainage_path_resistance.py::test_drainage_path_resistance_reduces_patient_and_total_flow_and_increases_recirc_fraction,tests/test_clinical_behavior_contract_drainage_path_resistance.py,PASS,2026-08-11 closure continuation,"fresh-this-thread: direct pytest file verification, zero exit"
tests/test_clinical_behavior_contract_drainage_path_resistance.py::test_rpm_escalation_can_raise_flow_but_does_not_remove_obstruction_signature,tests/test_clinical_behavior_contract_drainage_path_resistance.py,PASS,2026-08-11 closure continuation,"fresh-this-thread: direct pytest file verification, zero exit"
tests/test_clinical_behavior_contract_drainage_path_resistance.py::test_baseline_re_evaluation_is_deterministic_not_stateful_fault_recovery,tests/test_clinical_behavior_contract_drainage_path_resistance.py,PASS,2026-08-11 closure continuation,"fresh-this-thread: direct pytest file verification, zero exit"
tests/test_clinical_behavior_contract_fdo2.py::test_contract_definition_preserves_validation_boundary_and_future_retest_conditions,tests/test_clinical_behavior_contract_fdo2.py,PASS,2026-08-11 closure continuation,"fresh-this-thread: direct pytest file verification, zero exit"
tests/test_clinical_behavior_contract_fdo2.py::test_fdo2_reduction_monotonically_lowers_post_oxy_oxygen_state_with_coherent_sat_po2_pair,tests/test_clinical_behavior_contract_fdo2.py,PASS,2026-08-11 closure continuation,"fresh-this-thread: direct pytest file verification, zero exit"
tests/test_clinical_behavior_contract_fdo2.py::test_fdo2_only_change_does_not_change_co2_clearance_or_hydraulic_flow,tests/test_clinical_behavior_contract_fdo2.py,PASS,2026-08-11 closure continuation,"fresh-this-thread: direct pytest file verification, zero exit"
tests/test_clinical_behavior_contract_fdo2.py::test_fdo2_restoration_reproduces_baseline_membrane_state,tests/test_clinical_behavior_contract_fdo2.py,PASS,2026-08-11 closure continuation,"fresh-this-thread: direct pytest file verification, zero exit"
tests/test_clinical_behavior_contract_fixed_shunt_configuration.py::test_contract_definition_preserves_blocked_fluid_removal_boundary,tests/test_clinical_behavior_contract_fixed_shunt_configuration.py,PASS,2026-08-11 closure continuation,"fresh-this-thread: direct pytest file verification, zero exit"
tests/test_clinical_behavior_contract_fixed_shunt_configuration.py::test_inline_hemofilter_reduces_shunt_diversion_and_redistributes_to_patient,tests/test_clinical_behavior_contract_fixed_shunt_configuration.py,PASS,2026-08-11 closure continuation,"fresh-this-thread: direct pytest file verification, zero exit"
tests/test_clinical_behavior_contract_fixed_shunt_configuration.py::test_scuffing_activity_does_not_change_hemofilter_hydraulics,tests/test_clinical_behavior_contract_fixed_shunt_configuration.py,PASS,2026-08-11 closure continuation,"fresh-this-thread: direct pytest file verification, zero exit"
tests/test_clinical_behavior_contract_fixed_shunt_configuration.py::test_ckrt_configuration_is_hydraulically_equivalent_to_open,tests/test_clinical_behavior_contract_fixed_shunt_configuration.py,PASS,2026-08-11 closure continuation,"fresh-this-thread: direct pytest file verification, zero exit"
tests/test_clinical_behavior_contract_fixed_shunt_configuration.py::test_branch_conservation_and_open_restoration,tests/test_clinical_behavior_contract_fixed_shunt_configuration.py,PASS,2026-08-11 closure continuation,"fresh-this-thread: direct pytest file verification, zero exit"
tests/test_clinical_behavior_contract_hypovolemia.py::test_contract_definition_preserves_validation_boundary,tests/test_clinical_behavior_contract_hypovolemia.py,PASS,2026-08-11 closure continuation,"fresh-this-thread: direct pytest file verification, zero exit"
tests/test_clinical_behavior_contract_hypovolemia.py::test_hypovolemia_contract_direction_recovery_and_rpm_escalation,tests/test_clinical_behavior_contract_hypovolemia.py,PASS,2026-08-11 closure continuation,"fresh-this-thread: direct pytest file verification, zero exit"
tests/test_clinical_behavior_contract_ongoing_major_bleeding.py::test_contract_definition_preserves_validation_and_model_boundaries,tests/test_clinical_behavior_contract_ongoing_major_bleeding.py,PASS,2026-08-11 closure continuation,"fresh-this-thread: direct pytest file verification, zero exit"
tests/test_clinical_behavior_contract_ongoing_major_bleeding.py::test_ongoing_bleeding_serial_loss_partial_replacement_and_stateful_recovery,tests/test_clinical_behavior_contract_ongoing_major_bleeding.py,PASS,2026-08-11 closure continuation,"fresh-this-thread: direct pytest file verification, zero exit"
tests/test_clinical_behavior_contract_oxygenator_dysfunction.py::test_contract_definition_keeps_hydraulic_and_gas_failure_branches_separate,tests/test_clinical_behavior_contract_oxygenator_dysfunction.py,PASS,2026-08-11 closure continuation,"fresh-this-thread: direct pytest file verification, zero exit"
tests/test_clinical_behavior_contract_oxygenator_dysfunction.py::test_hydraulic_obstruction_raises_oxygenator_delta_p_and_reduces_flow_at_fixed_rpm,tests/test_clinical_behavior_contract_oxygenator_dysfunction.py,PASS,2026-08-11 closure continuation,"fresh-this-thread: direct pytest file verification, zero exit"
tests/test_clinical_behavior_contract_oxygenator_dysfunction.py::test_hydraulic_restoration_returns_operating_point_to_clean_baseline,tests/test_clinical_behavior_contract_oxygenator_dysfunction.py,PASS,2026-08-11 closure continuation,"fresh-this-thread: direct pytest file verification, zero exit"
tests/test_clinical_behavior_contract_oxygenator_dysfunction.py::test_membrane_transfer_impairment_reduces_o2_transfer_and_co2_clearance_at_fixed_flow,tests/test_clinical_behavior_contract_oxygenator_dysfunction.py,PASS,2026-08-11 closure continuation,"fresh-this-thread: direct pytest file verification, zero exit"
tests/test_clinical_behavior_contract_oxygenator_dysfunction.py::test_membrane_transfer_restoration_returns_outputs_to_clean_baseline,tests/test_clinical_behavior_contract_oxygenator_dysfunction.py,PASS,2026-08-11 closure continuation,"fresh-this-thread: direct pytest file verification, zero exit"
tests/test_clinical_behavior_contract_positive_airway_pressure.py::test_cbc07_higher_peep_reduces_native_output_and_map_while_measured_cvp_rises,tests/test_clinical_behavior_contract_positive_airway_pressure.py,PASS,2026-08-11 closure continuation,"fresh-this-thread: direct pytest file verification, zero exit"
tests/test_clinical_behavior_contract_positive_airway_pressure.py::test_cbc07_canonical_peep_sweep_is_directionally_graded,tests/test_clinical_behavior_contract_positive_airway_pressure.py,PASS,2026-08-11 closure continuation,"fresh-this-thread: direct pytest file verification, zero exit"
tests/test_clinical_behavior_contract_positive_airway_pressure.py::test_cbc07_static_peep_does_not_create_a_large_co2_artifact,tests/test_clinical_behavior_contract_positive_airway_pressure.py,PASS,2026-08-11 closure continuation,"fresh-this-thread: direct pytest file verification, zero exit"
tests/test_clinical_behavior_contract_positive_airway_pressure.py::test_cbc07_reversing_peep_recomputes_the_same_patient_to_baseline,tests/test_clinical_behavior_contract_positive_airway_pressure.py,PASS,2026-08-11 closure continuation,"fresh-this-thread: direct pytest file verification, zero exit"
tests/test_clinical_behavior_contract_sweep_gas_failure.py::test_contract_definition_preserves_validation_boundary_and_known_scope_limit,tests/test_clinical_behavior_contract_sweep_gas_failure.py,PASS,2026-08-11 closure continuation,"fresh-this-thread: direct pytest file verification, zero exit"
tests/test_clinical_behavior_contract_sweep_gas_failure.py::test_zero_sweep_disables_membrane_o2_addition_and_co2_removal_without_changing_flow,tests/test_clinical_behavior_contract_sweep_gas_failure.py,PASS,2026-08-11 closure continuation,"fresh-this-thread: direct pytest file verification, zero exit"
tests/test_clinical_behavior_contract_sweep_gas_failure.py::test_nonzero_sweep_titration_remains_co2_dominant_not_o2_control,tests/test_clinical_behavior_contract_sweep_gas_failure.py,PASS,2026-08-11 closure continuation,"fresh-this-thread: direct pytest file verification, zero exit"
tests/test_clinical_behavior_contract_sweep_gas_failure.py::test_coupled_patient_co2_rises_with_complete_sweep_loss_and_recovers_when_restored,tests/test_clinical_behavior_contract_sweep_gas_failure.py,PASS,2026-08-11 closure continuation,"fresh-this-thread: direct pytest file verification, zero exit"
tests/test_combined_equipment_bench.py::test_combined_equipment_expected_directional_behavior,tests/test_combined_equipment_bench.py,PASS,2026-08-11 closure continuation,"fresh-this-thread: direct pytest file verification, zero exit"
tests/test_coupled_patient_ecmo_time_step.py::test_va_support_raises_map_and_reduces_native_contribution,tests/test_coupled_patient_ecmo_time_step.py,PASS,2026-08-11 closure continuation,"fresh-this-thread: direct pytest file verification, zero exit"
tests/test_coupled_patient_ecmo_time_step.py::test_stopping_ecmo_restores_native_output_multiplier,tests/test_coupled_patient_ecmo_time_step.py,PASS,2026-08-11 closure continuation,"fresh-this-thread: direct pytest file verification, zero exit"
tests/test_coupled_patient_ecmo_time_step.py::test_ckrt_and_urine_reduce_volume_available_to_next_solve,tests/test_coupled_patient_ecmo_time_step.py,PASS,2026-08-11 closure continuation,"fresh-this-thread: direct pytest file verification, zero exit"
tests/test_coupled_patient_ecmo_time_step.py::test_bridge_flow_is_not_counted_as_systemic_support,tests/test_coupled_patient_ecmo_time_step.py,PASS,2026-08-11 closure continuation,"fresh-this-thread: direct pytest file verification, zero exit"
tests/test_dynamic_coupled_patient_ecmo.py::test_flow_display_lags_true_flow_after_rpm_step,tests/test_dynamic_coupled_patient_ecmo.py,PASS,2026-08-11 closure continuation,"fresh-this-thread: direct pytest file verification, zero exit"
tests/test_dynamic_coupled_patient_ecmo.py::test_display_converges_toward_true_state_over_time,tests/test_dynamic_coupled_patient_ecmo.py,PASS,2026-08-11 closure continuation,"fresh-this-thread: direct pytest file verification, zero exit"
tests/test_dynamic_coupled_patient_ecmo.py::test_co2_display_changes_more_slowly_than_true_value_after_sweep_step,tests/test_dynamic_coupled_patient_ecmo.py,PASS,2026-08-11 closure continuation,"fresh-this-thread: direct pytest file verification, zero exit"
